TAF	Latitude	Longitude
YMEK	-26.61	118.55
YIBO	-21.29	118.88
YBWX	-20.86	115.41
YXNR	-19.59	116.14
YTEF	-21.71	122.23
YNWN	-23.42	119.80
YPPD	-20.39	118.62
YOLW	-21.67	115.11
YSHG	-20.43	120.13
YPLM	-22.24	114.09
YPKA	-20.72	116.78
YSOL	-22.25	117.85
YKDD	-22.50	119.07
YBRM	-17.95	122.23
YKLC	-16.12	123.73
YPKU	-15.78	128.71
YWYM	-15.51	128.15
YLBD	-16.52	122.92
YARG	-16.64	128.45
YFTZ	-18.18	125.56
YTST	-14.09	126.38
YDBY	-17.37	123.66
YCIN	-17.58	123.83
YBGO	-20.15	127.97
YHLC	-18.23	127.67
YDPO	-41.17	146.43
YMHB	-42.84	147.50
YMLT	-41.55	147.21
YWYY	-41.00	145.73
YSTH	-41.34	148.28
YSRN	-42.16	145.29
YSMI	-40.84	145.08
YNGU	-14.72	134.75
YMGB	-12.09	134.89
YPTN	-14.52	132.38
YGBI	-11.65	133.38
YSNB	-11.42	130.65
YBTI	-11.77	130.62
YBYU	-11.05	126.62
YBRL	-16.08	136.30
YSMP	-11.15	132.15
YPDN	-12.42	130.87
YELD	-12.02	135.57
YPGV	-12.27	136.82
YGTE	-13.98	136.46
YGPT	-11.40	130.42
YJAB	-12.66	132.89
YPKT	-14.25	129.53
YPCM	-11.77	130.87
YMGD	-12.06	134.23
YMHU	-16.44	136.08
YVRD	-16.40	131.00
YHOO	-18.34	130.64
YWAV	-17.39	131.12
YTGT	-20.55	130.35
YTNK	-19.65	134.18
YTMN	-19.97	129.73
YYND	-22.25	131.78
YKNT	-23.27	129.39
YGLS	-25.05	128.30
YERN	-26.26	132.18
YBAS	-23.81	133.90
YAYE	-25.19	130.98
YJVN	-11.93	125.00
YTTI	-13.75	126.15
YNEN	-10.62	126.03
YMVE	-10.88	126.58
YBWS	-14.10	123.50
WPDL	-8.56	125.53
YSNF	-29.02	167.94
YPCC	-12.19	96.83
YPXM	-10.45	105.69
YBCR	-13.05	131.03
NFFN	-17.76	177.45
YJVS	-22.95	136.14
YKDI	-33.97	137.66
YMRE	-29.66	138.07
YYUN	-32.57	139.56
YTSI	-43.24	148.00
YCHL	-36.28	143.33
YCEM	-37.73	145.41
YEDE	-37.02	141.27
YFLK	-36.87	147.27
YHPN	-35.72	142.36
YBXU	-37.15	146.44
